mgrtomsa:confidence,id,msa,cleanedtweet,cleanedtweet2
1.0,48,اللهم نسالك الحفظ والتوفيق ما عاد العقل يحتمل اكثر من هذا,اللهُم نسألك الحِفظ والتوفيق لأن جديّات العقل معَش يقدر يستوعب ويتحمل أكثر من هكي,اللهم نسألك الحفظ والتوفيق لأن جديات العقل معش يقدر يستوعب ويتحمل أكثر من هكي
1.0,49,ضروري يعني يجب يعني كل يوم جميل ينقلب الى سيء هكذا,ضروري يعني لازم يعني كل يوم جميل يقلب نكد هكي,ضروري يعني لازم يعني كل يوم جميل يقلب نكد هكي
1.0,50,لقيت سديري معفن بثلاثمية جنيه والله عيب,امبدري لقيت سديري معفن بثلاثمية جنيه والله عيب هكي,امبدري لقيت سديري معفن بثلاثمية جنيه والله عيب هكي
0.6659,54,زاهدا فيما سيأتي ناسيا ما قد مضى هكذا قالت فيروز,زاهداً فيما سيأتي ناسياً ما قد مضى هكي قالت فيروز,زاهدا فيما سيأتي ناسيا ما قد مضى هكي قالت فيروز
0.6589,60,بنغازي زهرة البلاد تاريخ  مسطر بامجادلا تحكو عليها,بنغازي زهرة البلاد تاريخ امسطر بمجاد ماتحكو عليها هكي هالي كانت فلميعاد,بنغازي زهرة البلاد تاريخ امسطر بمجاد ماتحكو عليها هكي هالي كانت فلميعاد
0.6506,67,محمود بن علي اختار بطنك على حالها هناك عيادات تقوم بشدها بعد الولادة,محمود بن علي خيرها بطنك قاعدة هكي فيه عيادات يديروا في شد مابعد الولادة,محمود بن علي خيرها بطنك قاعدة هكي فيه عيادات يديروا في شد مابعد الولادة
1.0,71,البت هي هكذا يا  ابن ابوك,البتْ هي هكي ياوليد باه,البت هي هكي ياوليد باه
1.0,72,طبعآ كان ما عمل هكدا  حرام فيا اني نقعد تحت مسمى الانسانيه,ج ج تي طبعآ كان مادرتش هكي حرام فيا اني نقعد تحت مسمى الانسانيه,ج ج تي طبعآ كان مادرتش هكي حرام فيا اني نقعد تحت مسمى الانسانيه
1.0,76,كان النار مشتعلة في السيارات,كنهن السيارات شايطه فيهن النار هكي,كنهن السيارات شايطه فيهن النار هكي
0.6653,78,منهم من تحسبه متخصص في نقل اخبار الموت والاشتباكات والقتل ختى يو يعمل بالماال لايهتم هكذا,فيه اللي اتحسه متخصص في نقل اخبار الموت والاشتباكات والقتل حتى لو يخدم بالفلوس ما يهتمش هكي,فيه اللي اتحسه متخصص في نقل اخبار الموت والاشتباكات والقتل حتى لو يخدم بالفلوس ما يهتمش هكي
0.6812,80,لا يريدون المشي يتسحرو ولا هكذا مفطرين هم,مايبوش يمشوا يتسحروا ولا هكي هكي فاطرين هما,مايبوش يمشوا يتسحروا ولا هكي هكي فاطرين هما
1.0,82,أقسم بالله أن كان معي الأن وقلت له الأن تقسم لي,والله هكي صار معايا توا قلت توا تتسقم بعدين,والله هكي صار معايا توا قلت توا تتسقم بعدين
1.0,84,عندما لا يقول كيف شوش الإنتصار في سرت يختلقون لك القصص هكذا,لما مايلقوش كيف يشوشوا ع انتصارات سرت يطلعولك بقصص هكي,لما مايلقوش كيف يشوشوا ع انتصارات سرت يطلعولك بقصص هكي
0.6838,85,طيب احمد انا هكذا سوف اتعب,باهي احمد خلاص نتعب اني هكي,باهي احمد خلاص نتعب اني هكي
0.6791,86,عندك حلوة بعد الان لا شيئ,هذي عندك حلوه بعد هكي بع,هذي عندك حلوه بعد هكي بع
1.0,91,اللعنة على اتصال انترنت  كهذا  تبا,نعنجد النت لي هكي ازح,نعنجد النت لي هكي ازح
1.0,93,غير معقول لقد قمت بتحميل فيلم من المغرب لحد الان لم يصل,مشمعقوله هكي من مغرب حملت فلم لعند توه حتي مزال موصل,مشمعقوله هكي من مغرب حملت فلم لعند توه حتي مزال موصل
1.0,97,كان قولك لماذا يقولوا لي شيء غير هذا فقط قلت,كان قالولك ليش يقولولي لا شي غير هكي بس قلت,كان قالولك ليش يقولولي لا شي غير هكي بس قلت
1.0,98,لا هدا ازعاج عرب استعملنا الضوء من ساعة و نصف لحد الان لا هدا رسمي,لا هكي سمطوهااااااا عرب درنه الضي من ساعه ونص لحد توا لا هكي لاززززز رسمي,لا هكي سمطوها عرب درنه الضي من ساعه ونص لحد توا لا هكي لاز رسمي
1.0,105,عندما تجلس عندك أخت هكذا فقط لاشيء,لما تقعد عندك اخت هكي براڤكت,لما تقعد عندك اخت هكي براڤكت
1.0,108,انا من راي هكذا الميلان بدا يفكر فعلا اللاعبين جيدين و لديهم مستقبل,انى من رأى هكي الميلان بدي يفكر صح اللاعبين كويسين وعندهم مستقبل,انى من رأى هكي الميلان بدي يفكر صح اللاعبين كويسين وعندهم مستقبل
0.6684,108,أنا من يرى الميلان هكذا أريد أن أفكر بطريقة صحيحة اللاعبون جيدون وعندهم مستقبل,انى من رأى هكي الميلان بدي يفكر صح اللاعبين كويسين وعندهم مستقبل,انى من رأى هكي الميلان بدي يفكر صح اللاعبين كويسين وعندهم مستقبل
0.6684,108,من يرى ميلان هكذا سيفكر ان اللاعبين جيدين و لهم مستقبل,انى من رأى هكي الميلان بدي يفكر صح اللاعبين كويسين وعندهم مستقبل,انى من رأى هكي الميلان بدي يفكر صح اللاعبين كويسين وعندهم مستقبل
1.0,109,لماذا دائما يسامح و هكذا له هيبته,هو ليش ديما سمح و هكي ليه هيبته,هو ليش ديما سمح و هكي ليه هيبته
0.6646,111,"ممممم أنا أريد مشاهدتها , أنت لست كذالك",مممممممم ياودي خاطري نشوفها وأنتي كلها مش هكي,م ياودي خاطري نشوفها وأنتي كلها مش هكي
0.664,112,جميل الساندويش لكن جاف هكذا,حلوة الدليفرى بالدم بس جاف هكى,حلوة الدليفرى بالدم بس جاف هكى
1.0,115,حكاية حياة اظن هكذا قلت لكم,حكاية حياة زعما هكي قولتكم,حكاية حياة زعما هكي قولتكم
0.6693,125,فيه هكذا وفيه هكذا ليس كلهم وليس كلهن,فيه هكي وفيه هكي مش كلهم ومش كلهن,فيه هكي وفيه هكي مش كلهم ومش كلهن
1.0,128,أقسم بالله أن لا يصعد إلا هكذا,والله مايطلع الا هكي,والله مايطلع الا هكي
0.6704,129,جو السهرة خذي هذه الأسئلة الصعبة,سهرية بجو هكي اسئله صعبه,سهرية بجو هكي اسئله صعبه
1.0,131,الموضوع ديني قبل أن يكون قومي النبطاح لا بكون هكدا,الموضوع ديني قبل أن يكون قومي مش هكي الانبطاح راه,الموضوع ديني قبل أن يكون قومي مش هكي الانبطاح راه
0.6531,133,"اريد أن أشكر من اخترع كلمة ""كده""",و هكي ه ‌ ه,و هكي
1.0,137,كن جميلا ترى الوجود جميلا و الله نفسي  اصبح جميل لكن ربي خلقني هكذا بشع مذا تفعل هي,كن جميلا ترا الوجود جميلا و الله نفسي انكون جميل لكن ربي اخلقني هكي شن ادير هي,كن جميلا ترا الوجود جميلا و الله نفسي انكون جميل لكن ربي اخلقني هكي شن ادير هي
1.0,148,الايام التي تعدت لا كهرباء ولا ماء لا انت متوفر لك كل هذا,الايام الي فاتن لا ضي لا اميه لا انت واجد بكل هكي,الايام الي فاتن لا ضي لا اميه لا انت واجد بكل هكي
0.6622,149,جديد عليهم يعني ماهو سرقو أكثر من ذالك حسبنا الله ونعم الوكيل فيهم,جديد عليهم يعني ماهو سرقو أكثر من هكي ف حسبنا الله ونعم الوكيل فيهم,جديد عليهم يعني ماهو سرقو أكثر من هكي ف حسبنا الله ونعم الوكيل فيهم
1.0,154,علي البروفس ، نعم هكذا طمأنتني,علي البروفس ايووووه هكي طمنتيني,علي البروفس ايوه هكي طمنتيني
1.0,155,لا يبيدهم  هكذا احدث فيكم,وذن لابيدولا هكي دار فيكم وذن,وذن لابيدولا هكي دار فيكم وذن
1.0,167,المهم يقولون ان حدائق بابل السنة المقبلة جنيه من غير المعقول ان اقوم بدفع كل هذا المال في حدائق بابل,المهم قالك حدائق بابل السنة الجاية جنيه بالعقل هكي معقولة ندفع الفلوس هذينا في حدائق بابل,المهم قالك حدائق بابل السنة الجاية جنيه بالعقل هكي معقولة ندفع الفلوس هذينا في حدائق بابل
0.6791,169,شاهدوا قناة رمضان في السابق في ليبيا كانت راقية جدا,شوفو قناة فيها رمضان زمان ايام ليبيا متريحة صح ما يضحكش بسس تحسهم هكي رااااقين,شوفو قناة فيها رمضان زمان ايام ليبيا متريحة صح ما يضحكش بسس تحسهم هكي راقين
1.0,181,قصدك لم يكن ورق النقود هم من يجلبون الاشياء كيف هكذا,قصدك كان مش ورق الفلوس هن اللي يجيبن حجات كيف هكي,قصدك كان مش ورق الفلوس هن اللي يجيبن حجات كيف هكي
1.0,182,الشبيلي كلام لا يوجد أروع منه,الشبيلي كلام ولا اروع من هكي,الشبيلي كلام ولا اروع من هكي
1.0,182,الشبيلي كلام ولا أروع الشبيلي كلام ولا أروع  الشبيلي كلام ولا أروع,الشبيلي كلام ولا اروع من هكي,الشبيلي كلام ولا اروع من هكي
0.6789,182,لا يوجد اروع من هذا الكلام,الشبيلي كلام ولا اروع من هكي,الشبيلي كلام ولا اروع من هكي
1.0,183,ليبي ليوي هكذا الشخص  يشكر تعلموا ليبي ليوي شكرا,ليبي ليوي هكي الواحد يشكر تعلمو ليبي ليوي شكرا,ليبي ليوي هكي الواحد يشكر تعلمو ليبي ليوي شكرا
0.6693,185,قطة تمشى هكذا و نصف الشاشة مكسور للقطة الحقيرة,لقطة تمشي هكي ونص شاشه مشقق لقطه حقييييرااه,لقطة تمشي هكي ونص شاشه مشقق لقطه حقيرااه
0.6549,188,فاءٌ هكدا  هي ليس مهمه فكرة الوضوع,فاءٌ هكي هكي مش مهمه فكرة الوضوع,فاء هكي هكي مش مهمه فكرة الوضوع
0.693,190,انت عليك بالتاني ليس هكدا,تي غر بالشوية يابيل تي مش هكي هههه,تي غر بالشوية يابيل تي مش هكي
1.0,193,لملم اعملي لي ملاحظة وحاضر من بريدي الالكتروني اثنين اخرين ماذا تريدين ايضا,لملم ديريلي منشن وحاضر من ايميلاتي اثنين اخرا شن تبي بعد هكي,لملم ديريلي منشن وحاضر من ايميلاتي اثنين اخرا شن تبي بعد هكي
0.6688,203,ريجيم لماذا ابقى كما أنت احبك هكذا ولا اجمل ولا احلى ولا اهضم,دايت عليش خليك زي ما إنت نحبك هكي ولا اجمل ولا احلى ولا اهضم,دايت عليش خليك زي ما إنت نحبك هكي ولا اجمل ولا احلى ولا اهضم
1.0,209,ليكن في علمك  أنني قد تخيلتك هكذا,ههههههههههههههههههه تخيلتك هكي راه,تخيلتك هكي راه
1.0,215,جواهر الصغيِّر  بالاصَّح  مصراته مدينة صغيرة فعلت عار مثل هذا انك كبيرة جواهر الصغيِّر اكثر صورة مضحكة لليوم,جواهر الصغيِّر بالاصح مصراته مدينة صغيرة دارت عااار هكي كبيره جواهر الصغيِّر اكثر صورة مضحكة لليوم,جواهر الصغير بالاصح مصراته مدينة صغيرة دارت عار هكي كبيره جواهر الصغير اكثر صورة مضحكة لليوم
1.0,222,كان عندي مثله والبس كل واحد على حدى,آلاء كان عندي هكي نلبس كل فردة بشكل آلاء,آلاء كان عندي هكي نلبس كل فردة بشكل آلاء
1.0,229,لا انترنت لا ضوء حاضر هل هده دولة يا عرب,لا نت لا ضي واجد هكي ع الدولة يا عرب,لا نت لا ضي واجد هكي ع الدولة يا عرب
0.6521,230,اللعنة مع الصباح لو كنت  هكذا لو ذهبت باكرا,نعنديسكم عالصبح كان هكي الواحد روح بكره,نعنديسكم عالصبح كان هكي الواحد روح بكره
1.0,231,زكريا البوهالي هكذا هم يصممون أزياء الرجال و مفككي الألغام عندهم حركات غريبة,زكريا البوهالي هكي هما مصممين الازياء الرجال و مفككي الالغام عندهم حراكات غريبة,زكريا البوهالي هكي هما مصممين الازياء الرجال و مفككي الالغام عندهم حراكات غريبة
1.0,238,انا استمر في النوم و النهوض اليوم اشتقت لنوم اليوم و النهوض غدا كيف هكذا,قعدت نرقد اليوم ونوض اليوم استاحشت نرقد اليوم ونوض غدوة شن هكي عاد,قعدت نرقد اليوم ونوض اليوم استاحشت نرقد اليوم ونوض غدوة شن هكي عاد
0.684,246,سال المزوغي اضحكي بدموعك هكذا تجلبين الضحك و البكاء و تصبحين اثنين في واحد,سٰالم المزوْغي اضحكي بدموعك هكي جبتي الضحك والبكاء وتقعدي اثنين في واحد,سٰالم المزوغي اضحكي بدموعك هكي جبتي الضحك والبكاء وتقعدي اثنين في واحد
1.0,250,اول مرة احس نفسي قوية هكذا,أول مره نحس روحي قويه هكي,أول مره نحس روحي قويه هكي
1.0,250,اول مرة احس نفسي قوية هكذا,أول مره نحس روحي قويه هكي,أول مره نحس روحي قويه هكي
0.6837,257,تخيلوا أنها تغريدة عميقو وهكذا,تخيلوها تويتة عميقة و هكي,تخيلوها تويتة عميقة و هكي
0.6828,260,عندما أسمع الخبر أكيد حتى أنتن هكذا شكلي جميل لما,لما سماعة الخبر أكيد حتي أنتن هكي هههههههه كت تويت شكلي لما,لما سماعة الخبر أكيد حتي أنتن هكي كت تويت شكلي لما
0.6792,264,انا اعرف بانها فترة مملة و هكذا فقط مع الوقت ستستحي,عارفته فتره سامطه و هكي بس مع وقت حتمشي,عارفته فتره سامطه و هكي بس مع وقت حتمشي
0.6792,264,اعرف انها مدة طويلة وقبيحة ولكن سيمر الوقت,عارفته فتره سامطه و هكي بس مع وقت حتمشي,عارفته فتره سامطه و هكي بس مع وقت حتمشي
1.0,264,عارف فترة مملة و هكذا فقط مع الوقت ستمضي,عارفته فتره سامطه و هكي بس مع وقت حتمشي,عارفته فتره سامطه و هكي بس مع وقت حتمشي
0.6546,265,الهاتف اتركيه يرتاح لانني لم ارى مثله,تليفون نفسيه بعد هكى ماشفتش,تليفون نفسيه بعد هكى ماشفتش
1.0,268,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكذا يا شامية,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكي يا شامية,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكي يا شامية
1.0,268,اصداء مباراة الارجنتين امريكا اقوى من مذبحة القربوللي هي هكذا ياشامية,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكي يا شامية,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكي يا شامية
1.0,268,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكذا يا شامية,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكي يا شامية,أصداء مبارة الأرجنتين امريكا أقوى من مذبحة القربوللي هي هكي يا شامية
1.0,270,كل الناس تغيروا الا انا لم أتغير كيف هذا,كل الناس تغيرو الا انا ليش هكي,كل الناس تغيرو الا انا ليش هكي
1.0,271,هذا هو الخزي بعينه عقاب ابنت اخوك انها تعطي الفرص لأشكال الطيف,خزي عالوقت بادوني بنت خوك عقابها تعطي فرصه لي اشكال طيف هكي,خزي عالوقت بادوني بنت خوك عقابها تعطي فرصه لي اشكال طيف هكي
0.6809,277,نوشَّا كيف هي الأشكال التي تأتي بالجلطة في تويتر تحسينه هادئ و سعيد,نوشَّا م فش الاشكال اللي تجيب الجلطه التويتر هكي تحسه هدوء وروقان,نوشا م فش الاشكال اللي تجيب الجلطه التويتر هكي تحسه هدوء وروقان
1.0,279,أقسم بالله كشعب ليبي ليس سيئ لدرجة  هكذا لحين يصير في بلدنا هكذا,والله كشعب ليبي مش سيء للدرجة هذي نين يصير في بلادنا هكي,والله كشعب ليبي مش سيء للدرجة هذي نين يصير في بلادنا هكي
0.686,289,قُصَّيْلْ جميل ختى هكذا رائع,قُصَّيْلْ باهي حتى هكي كويس,قصيل باهي حتى هكي كويس
1.0,293,أف لماذا هي الحياة هكذا,اففف ليش الحياة هكي,اف ليش الحياة هكي
1.0,300,هل من المعقول هكذا  حتى أختي عندي أكثر من سنة  لم ألتقي بها,معقوله هكي حتي اختي ليا قريب سنه مشفتهش,معقوله هكي حتي اختي ليا قريب سنه مشفتهش
1.0,303,هل من المعقول أصبحنا هطذا لكن أصلا نحن نتقبل الانتقاد,معقوله طلعنا هكي بس اصلاً عادي نحن نتقبلوا النقد,معقوله طلعنا هكي بس اصلا عادي نحن نتقبلوا النقد
0.693,304,انت من  ليس مثل هكدا هيه,تي لا مش هكي ههههه,تي لا مش هكي
1.0,310,قال لك تسليم واستلام الله يثبت علينا عقولنا اكثر من هكذا ما عندي ما اقول,قالك تسليم و إستلام الله ثبت علينا عقولنا اكثر من هكي ما عاد عندي ما نقول,قالك تسليم و إستلام الله ثبت علينا عقولنا اكثر من هكي ما عاد عندي ما نقول
1.0,312,هبة في مكان ما يحرروننا مرة واحدة حررونا عشرة ماذا نريد اهتمام اكثر من هذا,هِبَة بدال مايحررونا مرة حررونا عشرة شن نبو دلع اكثر من هكي,هبة بدال مايحررونا مرة حررونا عشرة شن نبو دلع اكثر من هكي
1.0,313,حتى  انا  اقول  هكذا,هههههههههههه حتى انا هكي نقول,حتى انا هكي نقول
0.6505,314,بنت ليبيا هي هكدا  يا ابي اصح اولا,بنت ليبيا هههههههه هكي يبي صح اولا,بنت ليبيا هكي يبي صح اولا
0.6791,318,نحن كذلك نقول مثلكم: و العود أحمد,ههه حتى أني هكي نقول عدنا والعود أحمدُ,حتى أني هكي نقول عدنا والعود أحمد
1.0,319,وأنا أقول له اليوم ليس جيد وكل سنة وأنت طيب,وانا نقول كنه اليوم شين هكي وكل سنة وانت طيب,وانا نقول كنه اليوم شين هكي وكل سنة وانت طيب
1.0,321,لا يستريحوا حتى يجدوا حواجبك مقترنات وبعد ان يقترن مع بعضهن البعض يقولوا لك انت دائما يعجبك هذا الحال,م يتريحوش لين يلقوا حواجبك حاضنات بعضهن وبعد يحضنن بعضهن يقولولك انت ديما راقيلك هكي,م يتريحوش لين يلقوا حواجبك حاضنات بعضهن وبعد يحضنن بعضهن يقولولك انت ديما راقيلك هكي
1.0,326,لا اقصدك انت شخصيا يا مصطفى حاشاك لكن الاغلب هكذا,ما نقصدك انت شخصيا يا مصطفى حشاك بس الاغلب هكي,ما نقصدك انت شخصيا يا مصطفى حشاك بس الاغلب هكي
0.6835,329,غير معقول  كيف يمضي رمضان بسرعة,مش معقول كيف رمضان مشي بسرعة هكي,مش معقول كيف رمضان مشي بسرعة هكي
1.0,329,ليس معقول رمضان كان قصير,مش معقول كيف رمضان مشي بسرعة هكي,مش معقول كيف رمضان مشي بسرعة هكي
1.0,329,لا يعقل رمضان مضى بسرعة,مش معقول كيف رمضان مشي بسرعة هكي,مش معقول كيف رمضان مشي بسرعة هكي
1.0,331,هههههههههه بال الشيخ واسع و صدره رحب هذه أول مرة نراه في هذه الحالة يبدو أننا أكثرنا من الطلب عليه,هههههههههههه الشيخ باله واسع و صدره رحب اول مره نشوفه هكي واضح انه كثرنا عليه,الشيخ باله واسع و صدره رحب اول مره نشوفه هكي واضح انه كثرنا عليه
0.6791,338,هكذا اظن ينطق في الانمي لكن في سبيس تون والمتعارف عليه توقو موري,هكي اظني ينطق في الانمي لكن في سبيس تون والمتعارف عليه توقو موري,هكي اظني ينطق في الانمي لكن في سبيس تون والمتعارف عليه توقو موري
1.0,339,ان شاء الله تتفك الازمة ولا يرجعون مثل قبل,بس ان شاء اتم الازمه و يقعدو هكي مش يرجعو زي قبل,بس ان شاء اتم الازمه و يقعدو هكي مش يرجعو زي قبل
1.0,340,نادية تقريباً طول عمرهم عايشين هكذا الليبيين دائما يشتكون لكن امورهم جيدة,نادية تقريباً طول عمرهم عايشين هكي الليبيين ديما يشكو لكن امورهم ماشية ههههههه,نادية تقريبا طول عمرهم عايشين هكي الليبيين ديما يشكو لكن امورهم ماشية
1.0,343,هكذا اصبح مئة بالمئة ام لا,هكي طلع ميه ميه ولالا,هكي طلع ميه ميه ولالا
1.0,344,راف تضحك أنت كذالك حقيرة هكذا,راف هههههههه انتي كنك حقيره هكي,راف انتي كنك حقيره هكي
0.6686,344,راف هل أنت  كنت حقيرة هكذا,راف هههههههه انتي كنك حقيره هكي,راف انتي كنك حقيره هكي
0.6667,344,انت حقير هكذا كم هو مقرف,راف هههههههه انتي كنك حقيره هكي,راف انتي كنك حقيره هكي
1.0,345,هاجر سوف أمشي حتى لو أطلقوا علي كل الحديقة,هاجر نمشي و يطلقوا عليا الحديقة كلها كان هكي,هاجر نمشي و يطلقوا عليا الحديقة كلها كان هكي
1.0,346,حق هو اعلب المستخدمين ممتعين هكذا يفعلوا فيه,حق هوا اغلب المستخدمين متعه هكي يعاملو فيه,حق هوا اغلب المستخدمين متعه هكي يعاملو فيه
1.0,351,لست مجبرا على المجاملة و النفاق كن على طبيعتك تكون محبوبا و الله,مش مضطر أتجامل وتنافق خليك علي طبيعتك خير هكي تكون محبوب والله,مش مضطر أتجامل وتنافق خليك علي طبيعتك خير هكي تكون محبوب والله
0.6686,358,قواتنا  المسلحة في بنغازي تعزل قنفودة عن القوارشة هكذا نقول ضاق الخناق بهم يموتون يموتون,قوآتنا المسلحة في بنغازي تعزل قنفودة عن القوارشة هكي آنقولو ضآق الخنآق بيهم يَيموتو يَيموتو,قوآتنا المسلحة في بنغازي تعزل قنفودة عن القوارشة هكي آنقولو ضآق الخنآق بيهم ييموتو ييموتو
1.0,360,الحياة نفسيا محتاجة لكلام مثل هذا,الواحد نفسييته محتاجه كلااام هكككي,الواحد نفسييته محتاجه كلام هكي
1.0,362,الانترنت غير موجودة  هي مثل الفضلات دائما هكذا,كنة النت رايح زبالة هكي هوا,كنة النت رايح زبالة هكي هوا
1.0,363,دَانِي لا أمي ليست هكذا,دَانِي لا ميما مش هكي,داني لا ميما مش هكي
1.0,368,ة: لو حفتر سمى العملية الكنشة لا تزال في جيبي معناها هجوم هل هذاصحيح وغير ذلك غير صحيح,لو حفتر سمى العملية الكنشة لا تزال في جيبي معناها هجوم بجديات و غير هكي دفنقي,لو حفتر سمى العملية الكنشة لا تزال في جيبي معناها هجوم بجديات و غير هكي دفنقي
1.0,378,كريستيانو قلنا أنه لاعب كبير لكن بيبي لا,بيبي هههههههه كريستيانو وقلنا ملاعبي لكن بيبي هلبا هكي,بيبي كريستيانو وقلنا ملاعبي لكن بيبي هلبا هكي
1.0,383,عندما يكون في خاطرك السؤال لكن كرامتك لا تسمح لك بذلك فتستمر المكابرة و فقط,لما خاطرك تسألي علاش تتصرفي هكي لكن كرامتك لن تسمح لكِ بذلك ف تستمر المكابرة و خلاص,لما خاطرك تسألي علاش تتصرفي هكي لكن كرامتك لن تسمح لك بذلك ف تستمر المكابرة و خلاص
0.6757,384,لماذا ذهبت متنكدة هكذا أنا فقط,عليش روحت متنكده هكي انا بس,عليش روحت متنكده هكي انا بس
1.0,389,كل هذا خطأ في الأخير يجب على الفتاة أن تعلم أن,اوكي توا هكي غلط بكل اخرا لازم البنت تعرف ان,اوكي توا هكي غلط بكل اخرا لازم البنت تعرف ان
1.0,391,مادمتي قلتي هكذا حسب خبرتي معك مع نادال ما عندك حظ معناها سوف تخسر ايطاليا وسترين,ماداما قولتي هكي حسب خبرتي معاك مع نادال ماعندكش حظ معناها ح تخسر إيطاليا وح تشوفي,ماداما قولتي هكي حسب خبرتي معاك مع نادال ماعندكش حظ معناها ح تخسر إيطاليا وح تشوفي
1.0,392,استعد بعد الساعه يبقى الجو معسل هكذا أو لا أدري  كيف,تهيالك بعد الساعه يقعد الجو معسل هكي ولا مشعارف كيف,تهيالك بعد الساعه يقعد الجو معسل هكي ولا مشعارف كيف
0.671,395,أقسم يالله أنه أكره من هذا الشيئ,والله أسمط من هكي معش في,والله أسمط من هكي معش في
0.6693,397,قال لها انكي تخرجي من البنات التي يقلن يا طيري قال له كأنه حكي معقول انا هكذا,قاللها راكي تطلعي من البنات اللي يقولن يا طيري قالتله كنك حكية معقولة أنا هكي,قاللها راكي تطلعي من البنات اللي يقولن يا طيري قالتله كنك حكية معقولة أنا هكي
0.6629,402,انايين دوما انت هكدا محضر خير هيه,أناييس ديما انت هكي محضر خير ههههه,أناييس ديما انت هكي محضر خير
1.0,405,جيش العباسي ، و الله لا أعرف الغش ثم من يرسم لي هكذا ، هذه معادلات,جيش العباسي ههههههههه والله منعرفش انغش وبعدين من بيرسملي هكي هذينا معادلات,جيش العباسي والله منعرفش انغش وبعدين من بيرسملي هكي هذينا معادلات
1.0,418,وبعدذلك ياتي زمن كل شيئ ياكل,و بعد يجي وقت كل ال هكي وهكي يتاكل هكي وهكي بس,و بعد يجي وقت كل ال هكي وهكي يتاكل هكي وهكي بس
