id,msa_verified,tweet,cleanedtweet2
290,يا الله كم ارتحت عندما كلمني الله في القرآن هل يوجد أعظم من هذا؟,يا الله شو رتحت لما ربنا يكلمك بالقرآن في اعظم من هيك ❤,يا الله شو رتحت لما ربنا يكلمك بالقرآن في اعظم من هيك
297,إذا رأيتني لا أتكلم فلا يعني ذلك أنني لست مجروحا,اذا شايفني مش عم بحكي فكرك يعني مش موجوع ؟,اذا شايفني مش عم بحكي فكرك يعني مش موجوع ؟
297,إذا وجدتني لا أتكلم تعتقد يعني أنني غير موجوع,اذا شايفني مش عم بحكي فكرك يعني مش موجوع ؟,اذا شايفني مش عم بحكي فكرك يعني مش موجوع ؟
310,يكفي أن تقوموا بإلغاء المتابعة يعني هذا كثير,بكفي تعملو انفولو يعني كتير هيك 😂,بكفي تعملو انفولو يعني كتير هيك
310,يكفي أن تقوموا بإلغاء المتابعة فهذا كثير,بكفي تعملو انفولو يعني كتير هيك 😂,بكفي تعملو انفولو يعني كتير هيك
321,يا ترى هل من الممكن أن يصل حسابي اليوم؟ أتمنى ذلك عامكم سعيد متابعيني وأحبائي,يا تري ممكن حسابي يوصل  2016 اليوم بتمني هيك عامكم سعيد متابعيني وحبايبي,يا تري ممكن حسابي يوصل 2016 اليوم بتمني هيك عامكم سعيد متابعيني وحبايبي
331,ماذا تريد أفضل من أن تصغر سنة؟,@pierrbeirut شو بدك احسن من انو تصغر ١٦ سنة😂,شو بدك احسن من انو تصغر ١٦ سنة
331,ماذا تريد أفضل من أن تصغر 16 سنة,@pierrbeirut شو بدك احسن من انو تصغر ١٦ سنة😂,شو بدك احسن من انو تصغر ١٦ سنة
334,هكذا يقولون وردتنا يا ماها,@daadsabeh @yaraahm59289392 @SoonaMaatouk @helallah @mmema39 @zouhourmalti1 @wdadalolimat ههههه هيك بقولوا وردتنا ياماها😂🌹🌹🌹,هيك بقولوا وردتنا ياماها
355,من أجل ذلك كن إنسانا سطحيا وستحتاج إلى مليون سنة حتى تعتاد على أحد ويعتاد عليك,@Paalestinee  عشان هيك خليك انسان سطحي وبدك مليون سنة عشان توخذ ع حدا ويوخذ عليك .,عشان هيك خليك انسان سطحي وبدك مليون سنة عشان توخذ ع حدا ويوخذ عليك
383,أول شيء أيتها السمينة متى قلت ذلك؟ ويكفي أن لي يومين لطيف معك أصمتي,@rania200014 @me_otako @1_7r_ @chain_man7 @jassmmeen @L2Catty @mare09050 @pains__  اول اشي يا دبه متى قلت هيك و بكفي لي يومين حباب معك اسكتي,اول اشي يا دبه متى قلت هيك و بكفي لي يومين حباب معك اسكتي
384,أحد يخبر مي حريري أنه فعلا لم يقم أحد بذلك,#حدا_يلكش_مي_حريري انه عنجد shame on U..MILF هيك ما حدا لاكشها😩,حدا يلكش مي حريري انه عنجد هيك ما حدا لاكشها
406,من أجل أن يكون العام الجديد جيدا من أوله ولا يقوم بإثارة المشاكل هكذا أو هكذا,@3alllam @No4Drugs عشان العام الجديد يجلس من أولها وما يعمل أفلام هيك ولا هيك 😁,عشان العام الجديد يجلس من أولها وما يعمل أفلام هيك ولا هيك
423,لن أنسى ما قلته تريد أن تمحوني من الدنيا من أجل قطعة ثلج مشكور,@god_fathe لن انسى ما قلته بدك تمحيني من الدنيا مشان نتفة تلج مشكور,لن انسى ما قلته بدك تمحيني من الدنيا مشان نتفة تلج مشكور
425,أحسن شيء والله برافو ماذا تريد بهذه الضجة والكلام الذي لا طعم له,@fadiashaklab1 احسن شي والله برافو شو بدك بهل ضجة و الحكي بلا طعمة,احسن شي والله برافو شو بدك بهل ضجة و الحكي بلا طعمة
463,طبعا أنت خائنة وستين ألف خائنة من تفعل هذا ومن لديه أي اعتراض فليقل,@Lo0oL__0  طبعاً خاينه وستين الف خاينه اللي تعمل هيك 😎🚬 اللي عنده اعتراض يقول,طبعا خاينه وستين الف خاينه اللي تعمل هيك اللي عنده اعتراض يقول
483,افضل لك ماذا تريد بكلامي من بعيد لا عيوني تشتاق لك ولا حبك أكيد,احسنلك شو بدك فيّ حكيني من بعيد لا عيوني بتشتقلك و لا حبك اكيد ...,احسنلك شو بدك في حكيني من بعيد لا عيوني بتشتقلك و لا حبك اكيد
483,أحسن لك ماذا تريد مني؟ تحدث معي من بعيد لا عيني تشتاق إليك ولا حبك أكيد,احسنلك شو بدك فيّ حكيني من بعيد لا عيوني بتشتقلك و لا حبك اكيد ...,احسنلك شو بدك في حكيني من بعيد لا عيوني بتشتقلك و لا حبك اكيد
566,لا يكفيها هذا الله يخليك يا رب,@ww22gg221 @mniayar هههههه ﻻ بيكفيها هيك الله يخليك يارب,بيكفيها هيك الله يخليك يارب
567,خلاص أعتذر غدا أيضا هناك احتفالات أين أستطيع أن أجدك لكي نمشي معا؟,@Sartiabe خلاص بتأسف بكره كمان في احتفالات وين بلائيك مشان نمشي سوا🌹👯👯👯,خلاص بتأسف بكره كمان في احتفالات وين بلائيك مشان نمشي سوا
702,لا تتحدث عن سميرة هكذا حسنا حسنا,@greenie_m12 @sameerajs_  😭😂😂😂💔 لا تحكي عن سميرة هيك اوكي؟ اوكي🚶,لا تحكي عن سميرة هيك اوكي؟ اوكي
755,يجب أن أسمعها كل يوم أغنية أدهم نابلسي كيف أحبك هكذا,لازم اسمعها كل يوم .. أدهم نابلسي - اغنية  كيف بحبك هيك ..,لازم اسمعها كل يوم أدهم نابلسي اغنية كيف بحبك هيك
755,يجب أن أستمع يوميا لأغنية أدهم نابلسي كيف أحبك هكذا,لازم اسمعها كل يوم .. أدهم نابلسي - اغنية  كيف بحبك هيك ..,لازم اسمعها كل يوم أدهم نابلسي اغنية كيف بحبك هيك
821,لكن بربك هل هناك بنات يتحدثن هكذا؟ إذن كيف يسب الشباب؟,@Ajnadeen_Libya @didi_dalal @mohmmadfahd93 @uae_3G بس بربك  في بنات هيك بتحكي    😕لكان الشب كيف بسب,بس بربك في بنات هيك بتحكي لكان الشب كيف بسب
821,ولكن بربك هل هناك فتيات يتحدثن هكذا إذن كيف يمكن للشاب أن يشتم,@Ajnadeen_Libya @didi_dalal @mohmmadfahd93 @uae_3G بس بربك  في بنات هيك بتحكي    😕لكان الشب كيف بسب,بس بربك في بنات هيك بتحكي لكان الشب كيف بسب
867,ليس لأنني قمت بإلغاء المتابعة أصبح عقلي صغيرا,مش مشان عملت انفولو صار عقلي صغير🌚.,مش مشان عملت انفولو صار عقلي صغير
883,لأنه ياحرام الشاب يطلب شيئا ولا أحد يعيره اهتماما بالإضافة إلى ذلك يعطى حظر من المجموعة,لانه يا حرام الشب يطلب شغلة ما حدا بعبره وغير هيك بنسلخ بلوك من الجروب...,لانه يا حرام الشب يطلب شغلة ما حدا بعبره وغير هيك بنسلخ بلوك من الجروب
899,لا تخف لن أتكلم هكذا,@zeidfreitekh ههههههه تخفش مش رح احكي هيك 😂,تخفش مش رح احكي هيك
899,لا تخف لن أتحدث هكذا,@zeidfreitekh ههههههه تخفش مش رح احكي هيك 😂,تخفش مش رح احكي هيك
923,وأنت كيف لك أن تكوني هكذا ها؟,@Baekyona_ وانتي كيف الك تكوني هيك هااه؟😢😢,وانتي كيف الك تكوني هيك هااه؟
923,وأنت كيف لك أن تكوني هكذا؟ هاه؟,@Baekyona_ وانتي كيف الك تكوني هيك هااه؟😢😢,وانتي كيف الك تكوني هيك هااه؟
962,العمى على هذه الرومانسية,@HF404x لك العمى على هيك رومنسيّه 😂,لك العمى على هيك رومنسيه
968,وأنا يا سوزي أمي لم تسمح لي بالخروج بسبب الجو والعائلة كلها مريضة,@suzan_naif  وانا ي سوزي ماما ما خلتني اطلع مشان الجو والعيلة كلها عيانة 😭😭😭😭,وانا ي سوزي ماما ما خلتني اطلع مشان الجو والعيلة كلها عيانة
1026,أحيانا يكون من الضروري أن نضحي من أجل شخص نحبه حتى لو كانت التضحية تؤلم القلب,احيانآ بكون لآازم نضحي مشان حداا منحبوو !'♪حتى لو هالتضحية راح توجع قلبكك,احيانآ بكون لآازم نضحي مشان حداا منحبوو حتى لو هالتضحية راح توجع قلبكك
1077,خلاص بدون أن أفتح على أي حال كنت سأداوم من البداية,@farah_magayda خلص بدون ما افتح هيك هيك كنت هداوم ب أول 2😂😂😂😂🚶,خلص بدون ما افتح هيك هيك كنت هداوم ب أول 2
1098,عادي ربما هذه إجابات لأسئلة تريد التهرب منها,عادي ... هيك ... يمكن ... هادي اجوبة لاسئلة بدك تتهرب منها !,عادي هيك يمكن هادي اجوبة لاسئلة بدك تتهرب منها
1098,من المعتاد ذلك ممكن أن تكون هذه إجابة لأسئلة تريد أن تتهرب منها,عادي ... هيك ... يمكن ... هادي اجوبة لاسئلة بدك تتهرب منها !,عادي هيك يمكن هادي اجوبة لاسئلة بدك تتهرب منها
1146,أنت دائما تفهمني يا رجل,@Waleedtayeh انت دايماً فاهمني يا زلمة😂,انت دايما فاهمني يا زلمة
1166,يا تكون البنات هكذا يا بلى لقد خسرنا الفرصة,@DanaNHR يا هيك البنات يا بلى 😂 راحت علينا 😭,يا هيك البنات يا بلى راحت علينا
1173,استيقظت وتذكرت السبب إنه أفضل على هذا الأساس أرتاح,صحيت و تذكرت السبب، انه احسن ع اساس هيك اريَح.,صحيت و تذكرت السبب انه احسن ع اساس هيك اريح
1174,ماذا تريد أجمل من ذلك؟,@miraculous307 هههههههههههههههه  شو بدك احلى من هيك 😂😂,شو بدك احلى من هيك
1185,من أنت يا سمير لتتحدث هكذا معي,@Samir_g3g3 @Khmut @naief82 مين إنتا يا سمير تا تحكي هيك معُن,مين إنتا يا سمير تا تحكي هيك معن
1243,هكذا يصبح الهاشتاق أنا لن أتزوجه,@zeinabatallah29 هيك بصير الهشتاغ أنا #لن_أتزوجه,هيك بصير الهشتاغ أنا لن أتزوجه
1268,كنت مريضا منذ سنتين من أجل هذا لم أستطع أن آتي إليك أمس أعذار لبنانية,*كنت مريض من سنتين، مشان هيك ما قدرت اجي لعندك مبارح*  اعذار لبنانية,كنت مريض من سنتين مشان هيك ما قدرت اجي لعندك مبارح اعذار لبنانية
1277,يا لنا لم أعرفك لأنك غيرت مظهرك,@NanaZA96 يييي علينا مش عرفتك مشان مغيره اللوك 😂,ي علينا مش عرفتك مشان مغيره اللوك
1277,ماهذا لم اعرفك لانك غيرت مظهرك,@NanaZA96 يييي علينا مش عرفتك مشان مغيره اللوك 😂,ي علينا مش عرفتك مشان مغيره اللوك
1360,و بهكذا طقس مثلج وبرد لا يوجد كهرباء ولا من يحزنون,@PearlZezo و هيك  تلج و برد و لا كهربا و لا من يحزنون,و هيك تلج و برد و لا كهربا و لا من يحزنون
1362,لا رصاص الأمس لم أعرف إن كنت سأحزن أم أفرح لكن يا رجل كلهم سعداء,@Libanaisepretty لا رصاص مبارح 😍😍 ما عارفة ازعل او افرح بس يا زلمة كلون مبسوطين,لا رصاص مبارح ما عارفة ازعل او افرح بس يا زلمة كلون مبسوطين
1370,اتضح أنك سورية أحضرت هذه الوقاحة من أخوالك لأننا نحن لسنا كذلك وقحين وغليظين,@sheeka_1005 @ahmad2255882   طلعتي سوريه 😕 جايبه السئاله من خوالك لكان  نحنا مو هيك سئيلين وغليزين  😜😜😝😛,طلعتي سوريه جايبه السئاله من خوالك لكان نحنا مو هيك سئيلين وغليزين
1375,لا أنا هكذا خلقني ربي متحمسة,@mwm9999 @qaydahmd5 لا... انا هيك خلقة ربي متحمسة😀,لا انا هيك خلقة ربي متحمسة
1375,لا أنا هكذا خلقني الله متحمسة,@mwm9999 @qaydahmd5 لا... انا هيك خلقة ربي متحمسة😀,لا انا هيك خلقة ربي متحمسة
1379,ليس هكذا يا بطة والله سأكرهك كثيرا كثيرا كثيرا,@ragheb9900 @ahmad2255882 موش هيك يابطه ده واللهي حا كرهك كتير كتير كتير 👊🌚,موش هيك يابطه ده واللهي حا كرهك كتير كتير كتير
1412,المصائب عندما تأتي تأتي كلها دفعة واحدة هكذا فجأة,المصايب بس تيجيني بتيجي كلها مرة وحدة هيك كبس 😊,المصايب بس تيجيني بتيجي كلها مرة وحدة هيك كبس
1412,المصائب عندما تأتي تأتي كلها مرة واحدة هكذا ضغط,المصايب بس تيجيني بتيجي كلها مرة وحدة هيك كبس 😊,المصايب بس تيجيني بتيجي كلها مرة وحدة هيك كبس
1422,كيف استطاع أن يهرب في النهار والشارع مليء بالناس؟ إنه فيلم أكشن أليس كذلك؟,بس كيف عرف يهرب والدنيا نهار والشارع ملان ناس 🤔 تقول فلم اكشن ما هيك 😂,بس كيف عرف يهرب والدنيا نهار والشارع ملان ناس تقول فلم اكشن ما هيك
1427,قصاص نمر النمر يا سلام على هكذا خبرية,"#قصاص_نمر_النمر ي سلام ع هيك خبريه😴✋""",قصاص نمر النمر ي سلام ع هيك خبريه
1437,يا إلهي هكذا كانت الفتيات العراقيات والسوريات يلبسن أيام الجامعة,@qu0o0te اباااااي ع العراقيات هيك بلبسو 😂😂😂😵والسوربات كانو ايام الجامعه,اباي ع العراقيات هيك بلبسو والسوربات كانو ايام الجامعه
1454,يا حياتي أنا واعي لما أقوله فأم حنان أكثر شخص طيب في العالم وليس لها مثيل,@imane21847011 @SousouSalam3 حياتي بعرف شو عم بحكي ام حنان اكتر شخص طيب بالعالم و ما في منها,حياتي بعرف شو عم بحكي ام حنان اكتر شخص طيب بالعالم و ما في منها
1481,لماذا يقحمون حسين الجسمي في كل شيء؟ ما هذا الهرب؟,ليش هيك بدخلوا حسين جسمي بكل حاجه ايش الهبل هد😧,ليش هيك بدخلوا حسين جسمي بكل حاجه ايش الهبل هد
1481,لماذا يدخلون حسين الجسمي في كل شيء؟ ما هذا الهبل؟,ليش هيك بدخلوا حسين جسمي بكل حاجه ايش الهبل هد😧,ليش هيك بدخلوا حسين جسمي بكل حاجه ايش الهبل هد
1493,من طقوس الأردني أن ينتظر إلى آخر الشهر لكي يرخص البنزين,#طقوس_الأردني_في_2016  بستنى اخر الشهر مشان يرخص البنزين,طقوس الأردني في بستنى اخر الشهر مشان يرخص البنزين
1657,ماذا تريد أفضل من ذلك؟ هنيئا لك,@sarah_alzoubi شو بدك احسن من هيك  نياااااااااالك 🌹🌹🌹🌹,شو بدك احسن من هيك نيالك
1671,اجعل تصرفاتك دائما سيئة لكي يلاحظوا عندما تفعل شيئا جيدا,خلّي تصرفاتك على طول زفت، مشان اذا عملت شي منيح يلاحظوا.,خلي تصرفاتك على طول زفت مشان اذا عملت شي منيح يلاحظوا
1677,منفذ العملية استخدم عوزة وليس كلاشنكوف أنا لا أفهم في السلاح لكن هكذا يبدو,منفذ العملية استخدم عُوزة مش كلشن ؟؟ بفهمش بالسلاح بس هيك مبين,منفذ العملية استخدم عوزة مش كلشن ؟؟ بفهمش بالسلاح بس هيك مبين
1711,حياتي كل هذا لعساف هكذا أنا سأغار منه,@OustadhaSabrin @YouTube حياتى كل هاد لعساف هيك انا بغير منه,حياتى كل هاد لعساف هيك انا بغير منه
1773,اذا هكذا ولم يدخل النخفض كيف عندما يدخل كم يصبح الثلج,اذا هيك ولسه ما دخل المنخفض كيف لما يدخل اديش بصير التلج!!!,اذا هيك ولسه ما دخل المنخفض كيف لما يدخل اديش بصير التلج
1783,والله لا يوجد ابدا هكذا رجال ابدا,@tweetytweetyt ولله ما في ابدا هيك رجال أبدا 😄😄,ولله ما في ابدا هيك رجال أبدا
1812,على هذه الحال لا توجد عليك كفارة توكل على الله براءة,@Zaid_Hamoudeh @dalqamouny إذا هيك ما عليك #كفارة توكل على الله #براءة,إذا هيك ما عليك كفارة توكل على الله براءة
1848,آمين لأنه هكذا تصبح العطلة جمعة وسبت,@SarahPh97 آمين لانه هيك العطلة بتصفي جمعة سبت 😭😭,آمين لانه هيك العطلة بتصفي جمعة سبت
1848,آمين لأن العطلة هكذا تصبح جمعة وسبت,@SarahPh97 آمين لانه هيك العطلة بتصفي جمعة سبت 😭😭,آمين لانه هيك العطلة بتصفي جمعة سبت
1856,أحسنت وعود نحن أبناء الجبال هكذا يجب أن نكون,@walid_waed برافو وعوود نحنا ولاد الجبال هيك لازم نكون💪💪,برافو وعوود نحنا ولاد الجبال هيك لازم نكون
1858,تنتحرين فينا يا ويلك خلاص لم أعد أريد زواجك ابقي هكذا,@Nataile95 😱😱😱 تنتحري فينا يا ويلك خلص ما عاد بدي زوجك خليكي هيك 😂😘,تنتحري فينا يا ويلك خلص ما عاد بدي زوجك خليكي هيك
1914,يعني أحد يكتب هكذا واسمه كلمنجارو رجل الكهف هل تتوقع أن يكون كبير يعني,@BasharChaheen  يعني واحد بيكتب هيك واسمه كلمنجارو رجل كهف بتتوقع يكون كبير يعني 😂,يعني واحد بيكتب هيك واسمه كلمنجارو رجل كهف بتتوقع يكون كبير يعني
1922,أحيانا تحب أحدا وتراه أجمل شخص في الدنيا أنا هكذا أحب,هو احيانا بتحب حدا وبتكون شايفو احلى حدا بالدنيا، انا هيك بحب,هو احيانا بتحب حدا وبتكون شايفو احلى حدا بالدنيا انا هيك بحب
1929,هاهاها لو كنت أعلم ذلك لما أكلت,@ayser_mahaftha  هاهاهاهاهاهاهاهاهاها لو بعرف هيك كان ما اكلتش😂,هاهاهاهاهاهاهاهاهاها لو بعرف هيك كان ما اكلتش
1929,هاهاهاهاهاهاهاهاهاها لو كنت أعرف هكذا لما أكلت,@ayser_mahaftha  هاهاهاهاهاهاهاهاهاها لو بعرف هيك كان ما اكلتش😂,هاهاهاهاهاهاهاهاهاها لو بعرف هيك كان ما اكلتش
1930,لذلك يعني أنه عرف السبب لعبوس الوجه وعدم التحية,@Shimaa309 @GhadaAnany عشان كده أو عشان هيك يعني انه عرف السبب للوي البوز وعدم السلام:),عشان كده أو عشان هيك يعني انه عرف السبب للوي البوز وعدم السلام
1936,نعم بهذه معك كل الحق يا رورو والله أجمل شيء براءة الأطفال,@Roro42228048 @Libanaisepretty اي ب هيك معك حق رورو يا ريت والله أجمل شي براءة اﻷطفال,اي ب هيك معك حق رورو يا ريت والله أجمل شي براءة ا طفال
1949,هناك أناس يجب أن نسألهم هل أنتم رخاص هكذا أم إنه عرض خاص؟,فى ناس لازم نسألهم؛ انتو هيك رخاص وﻻ هاد عرض خاص؟,فى ناس لازم نسألهم؛ انتو هيك رخاص و هاد عرض خاص؟
1949,هناك أشخاص يجب أن نسألهم أنتم هكذا رخاص و هذا عرض خاص,فى ناس لازم نسألهم؛ انتو هيك رخاص وﻻ هاد عرض خاص؟,فى ناس لازم نسألهم؛ انتو هيك رخاص و هاد عرض خاص؟
1997,الذين ينشئون حسابا من أجل فنان معين وينزلون صوره وهكذا بماذا تفكر؟,اللي بعملوا اكاونت عشان فنان معين و منزلين صورهم و هيك ، بشو بتفكر ؟,اللي بعملوا اكاونت عشان فنان معين و منزلين صورهم و هيك بشو بتفكر ؟
2010,أنت التي جلبت هذا لنفسك هل هناك شخص يقول شيئا مثل هذا لريما وسارة؟,@Hadeelabed95 @Architista_12 انتي اللي جبتيه لحالك  في حد بيحكي اشي زي هيك لريما و سارة,انتي اللي جبتيه لحالك في حد بيحكي اشي زي هيك لريما و سارة
2135,لو أردت نصيحة لطلبتها غير هذا لا تنصحني لأنني أعرف ما أفعل في حياتي,لو بدي نصيحة بطلبها غير هيك لا تنصحني لأني بعرف شو بعمل بحياتي.,لو بدي نصيحة بطلبها غير هيك لا تنصحني لأني بعرف شو بعمل بحياتي
2139,توكل على الله لكي أدعوك إلى طعام لذيذ في الشام,@ShahdShamta يالله مشان اعزمك على أكلة طيبة  بالشام,يالله مشان اعزمك على أكلة طيبة بالشام
2169,سأضربك ضربة مميتة لكي تعرفي عندما أضعها عليك ستصبحين كالعصا,@miro_nk  دي ضربتها ولقبر مشان تعرفي بحطها عليك بتصيري استيكه 😂,دي ضربتها ولقبر مشان تعرفي بحطها عليك بتصيري استيكه
2169,ضربتها سيؤدي بك إلى القبر حتى تعرفي أنني لو وضعتها عليك ستصبحين عصا,@miro_nk  دي ضربتها ولقبر مشان تعرفي بحطها عليك بتصيري استيكه 😂,دي ضربتها ولقبر مشان تعرفي بحطها عليك بتصيري استيكه
2233,اكتشفت أنني لا أعرف لهجتكم جيدا لا بد أن آخذ دورة فيها لأعرف كيف أجيبكم,اكتشفت مااعرف لهجتكم عدل لازم اخذ كورس فيها مشان اعرف أرد عليكم زين 😒💩💩🔪,اكتشفت مااعرف لهجتكم عدل لازم اخذ كورس فيها مشان اعرف أرد عليكم زين
2241,والله أني هكذا يأتي شيء ويفسد لدي شيء آخر,@nashmi_88 هههههههههه  والله اني هيك بيجي اشي و بخرب عندي اشي,والله اني هيك بيجي اشي و بخرب عندي اشي
2245,وهكذا أكون من السنة الماضية وأنا خارج,و هيك بكون من السنة الماضية و انا طالع,و هيك بكون من السنة الماضية و انا طالع
